weekend,rank,destination,airport,google_total,currency,passengers,outbound_example,outbound_stops,checked_at,google_search_url
16–19 Oct,15,Bologna,BLQ,439.0,EUR,1,TP838 LIS-FCO 20:25-00:25 / AZ1311 FCO-BLQ 09:15-10:20,1,2026-09-09T08:50:15+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNCTFEaHhIKMjAyNi0xMC0xOSgBQBBqBRIDQkxRcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,16,Dublin,DUB,479.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY8720 BCN-DUB 07:20-09:10,1,2026-09-09T08:50:12+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNEVUIaHhIKMjAyNi0xMC0xOSgBQBBqBRIDRFVCcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,17,Casablanca,CMN,499.0,EUR,1,IB538 LIS-MAD 20:45-23:10 / IB1355 MAD-CMN 11:00-10:55,1,2026-09-09T08:50:13+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNDTU4aHhIKMjAyNi0xMC0xOSgBQBBqBRIDQ01OcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,18,Genoa / Cinque Terre,GOA,571.0,EUR,1,TP838 LIS-FCO 20:25-00:25 / AZ1383 FCO-GOA 09:25-10:35,1,2026-09-09T08:50:14+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNHT0EaHhIKMjAyNi0xMC0xOSgBQBBqBRIDR09BcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,19,Marrakech,RAK,628.0,EUR,1,IB538 LIS-MAD 20:45-23:10 / IB1851 MAD-RAK 11:20-11:20,1,2026-09-09T08:50:13+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNSQUsaHhIKMjAyNi0xMC0xOSgBQBBqBRIDUkFLcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,20,Oslo,OSL,902.0,EUR,1,IB538 LIS-MAD 20:45-23:10 / IB953 MAD-OSL 10:35-14:20,1,2026-09-09T08:50:19+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNPU0waHhIKMjAyNi0xMC0xOSgBQBBqBRIDT1NMcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,21,Reykjavík,KEF,1143.0,EUR,1,TP1907 LIS-FAO 23:00-23:50 / FI959 FAO-KEF 16:30-20:05,1,2026-09-09T08:50:14+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNLRUYaHhIKMjAyNi0xMC0xOSgBQBBqBRIDS0VGcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,22,Edinburgh,EDI,1356.0,EUR,1,TP646 LIS-BRU 20:05-23:55 / SN2063 BRU-EDI 12:35-13:15,1,2026-09-09T08:50:16+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNFREkaHhIKMjAyNi0xMC0xOSgBQBBqBRIDRURJcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,1,London Stansted,STN,98.0,EUR,1,FR1885 LIS-STN 21:40-00:25,0,2026-09-09T08:50:27+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNTVE4aHhIKMjAyNi0xMC0yNSgBQA5qBRIDU1ROcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,2,Madeira,FNC,107.0,EUR,1,FR88 LIS-FNC 17:30-19:20,0,2026-09-09T08:50:20+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNGTkMaHhIKMjAyNi0xMC0yNSgBQA5qBRIDRk5DcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,3,Dublin,DUB,109.0,EUR,1,FR7137 LIS-DUB 22:30-01:15,0,2026-09-09T08:50:20+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNEVUIaHhIKMjAyNi0xMC0yNSgBQA5qBRIDRFVCcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,4,Milan Malpensa,MXP,125.0,EUR,1,UX1160 LIS-MAD 20:05-22:20 / UX1065 MAD-MXP 07:40-09:45,1,2026-09-09T08:50:23+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNNWFAaHhIKMjAyNi0xMC0yNSgBQA5qBRIDTVhQcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,5,Nice,NCE,141.0,EUR,1,U27611 LIS-NCE 16:55-20:20,0,2026-09-09T08:50:20+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNOQ0UaHhIKMjAyNi0xMC0yNSgBQA5qBRIDTkNFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,6,London Luton,LTN,143.0,EUR,1,U22464 LIS-LTN 21:10-23:45,0,2026-09-09T08:50:28+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNMVE4aHhIKMjAyNi0xMC0yNSgBQA5qBRIDTFROcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,7,London Gatwick,LGW,147.0,EUR,1,U28518 LIS-LGW 20:45-23:30,0,2026-09-09T08:50:27+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNMR1caHhIKMjAyNi0xMC0yNSgBQA5qBRIDTEdXcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,8,Rome,FCO,186.0,EUR,1,VY8465 LIS-BCN 22:10-01:05 / VY6110 BCN-FCO 09:50-11:40,1,2026-09-09T08:50:23+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNGQ08aHhIKMjAyNi0xMC0yNSgBQA5qBRIDRkNPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,9,Venice,VCE,197.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY6400 BCN-VCE 06:30-08:20,1,2026-09-09T08:50:24+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNWQ0UaHhIKMjAyNi0xMC0yNSgBQA5qBRIDVkNFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,10,London Heathrow,LHR,219.0,EUR,1,BA507 LIS-LHR 18:55-21:40,0,2026-09-09T08:50:27+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNMSFIaHhIKMjAyNi0xMC0yNSgBQA5qBRIDTEhScgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,11,Casablanca,CMN,244.0,EUR,1,AT983 LIS-CMN 18:40-19:05,0,2026-09-09T08:50:21+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNDTU4aHhIKMjAyNi0xMC0yNSgBQA5qBRIDQ01OcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,12,Marrakech,RAK,246.0,EUR,1,AT983 LIS-CMN 18:40-19:05 / AT401 CMN-RAK 20:50-21:40,1,2026-09-09T08:50:21+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNSQUsaHhIKMjAyNi0xMC0yNSgBQA5qBRIDUkFLcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,13,Agadir,AGA,246.0,EUR,1,AT983 LIS-CMN 18:40-19:05 / AT423 CMN-AGA 09:55-10:55,1,2026-09-09T08:50:22+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNBR0EaHhIKMjAyNi0xMC0yNSgBQA5qBRIDQUdBcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,14,Berlin,BER,252.0,EUR,1,LX2087 LIS-ZRH 18:20-22:15 / LX974 ZRH-BER 07:10-08:35,1,2026-09-09T08:50:25+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNCRVIaHhIKMjAyNi0xMC0yNSgBQA5qBRIDQkVScgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,15,Naples,NAP,263.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY6500 BCN-NAP 07:20-09:20,1,2026-09-09T08:50:24+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNOQVAaHhIKMjAyNi0xMC0yNSgBQA5qBRIDTkFQcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,16,Copenhagen,CPH,279.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY1870 BCN-CPH 07:40-10:40,1,2026-09-09T08:50:26+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNDUEgaHhIKMjAyNi0xMC0yNSgBQA5qBRIDQ1BIcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
